timestamp_iso,elapsed_s,run_id,controller_type,phase,stage_index,target_temp_c,vessel_temp_c,jacket_temp_c,jacket_minus_vessel_c,heater_pwm_percent,requested_heater_pwm_percent,fan_state,jacket_vessel_gap_warning,safety_limited,safety_reason,ambient_temp_c,pwm_step_start_elapsed_s,seconds_since_pwm_change,arduino_heater_reply,arduino_fan_reply
2026-05-20T13:45:24,54.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,52.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:25,55.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.40,-1.40,0,0,0,0,0,,26.70,2.21,53.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:26,56.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.40,-1.40,0,0,0,0,0,,26.70,2.21,54.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:27,57.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.40,-1.40,0,0,0,0,0,,26.70,2.21,55.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:28,58.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,56.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:29,59.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.40,-1.40,0,0,0,0,0,,26.70,2.21,57.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:30,60.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,58.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:31,61.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,59.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:32,62.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,60.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:33,63.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,61.00,OK:THERMAL_ACC=00,OK:FAN_OFF
